filename,date,decade,author,title,gender,gender_code,person,length,id,language
"EN_1847_Thackeray,William_VanityFair_Novel.txt",1847,1840,"Thackeray,William",VanityFair,male,M,third,301792,201,English
"EN_1848_Bronte,Ann_TheTenantofWildfellHall_Novel.txt",1848,1840,"Bronte,Ann",TheTenantofWildfellHall,female,F,first,164436,202,English
"EN_1848_Gaskell,Elizabeth_MaryBarton_Novel.txt",1848,1840,"Gaskell,Elizabeth",MaryBarton,female,F,third,160438,203,English
"EN_1849_Kingsley,Charles_AltonLocke_Novel.txt",1849,1840,"Kingsley,Charles",AltonLocke,male,M,third,167444,204,English
"EN_1850_Yonge,Charlotte_Henrietta'sWish_Novel.txt",1850,1850,"Yonge,Charlotte",Henrietta'sWish,female,F,third,87636,207,English
"EN_1850_Hawthorne,Nathaniel_TheScarletLetter_Novel.txt",1850,1850,"Hawthorne,Nathaniel",TheScarletLetter,male,M,third,82909,206,English
"EN_1850_Aguilar,Grace_ValeofCedars_Novel.txt",1850,1850,"Aguilar,Grace",ValeofCedars,female,F,third,92739,205,English
"EN_1851_Hawthorne,Nathaniel_TheHouseoftheSevenGables_Novel.txt",1851,1850,"Hawthorne,Nathaniel",TheHouseoftheSevenGables,male,M,third,102232,208,English
"EN_1851_Melville,Hermann_MobyDick_Novel.txt",1851,1850,"Melville,Hermann",MobyDick,male,M,first,211806,209,English
"EN_1852_Collins,Wilkie_Basil_Novel.txt",1852,1850,"Collins,Wilkie",Basil,male,M,first,113778,210,English
"EN_1853_Craik,Dinah_Agatha'sHusband_Novel.txt",1853,1850,"Craik,Dinah",Agatha'sHusband,female,F,third,136286,211,English
"EN_1853_Kingsley,Charles_Hypatia_Novel.txt",1853,1850,"Kingsley,Charles",Hypatia,male,M,third,162528,212,English
"EN_1853_Stowe,HarrietBeecher_UncleTom'sCabin_Novel.txt",1853,1850,"Stowe,HarrietBeecher",UncleTom'sCabin,female,F,third,180498,213,English
"EN_1853_Yonge,Charlotte_TheHeirofRedcliffe_Novel.txt",1853,1850,"Yonge,Charlotte",TheHeirofRedcliffe,female,F,third,233725,214,English
"EN_1854_Gaskell,Elizabeth_NorthandSouth_Novel.txt",1854,1850,"Gaskell,Elizabeth",NorthandSouth,female,F,third,181288,215,English
"EN_1855_Trollope,FrancesMilton_TheWidowBarnaby_Novel.txt",1855,1850,"Trollope,FrancesMilton",TheWidowBarnaby,female,F,third,195149,216,English
"EN_1856_Craik,Dinah_JohnHalifax_Novel.txt",1856,1850,"Craik,Dinah",JohnHalifax,female,F,first,174665,217,English
"EN_1857_Trollope,Anthony_BarchesterTowers_Novel.txt",1857,1850,"Trollope,Anthony",BarchesterTowers,male,M,first,197351,218,English
"EN_1859_Dickens,Charles_ATaleofTwoCities_Novel.txt",1859,1850,"Dickens,Charles",ATaleofTwoCities,male,M,third,135584,219,English
"EN_1860_Collins,Wilkie_TheWomaninWhite_Novel.txt",1860,1860,"Collins,Wilkie",TheWomaninWhite,male,M,third,244569,220,English
